name,calories,carbohydrate,total_fat,protein,cluster,day
"Candies, M&M's Peanut Chocolate Candies, MARS SNACKFOOD US",515.0,60.48,26.0,9.57,2,Monday
"Yogurt, fortified with vitamin D, 9 grams protein per 8 ounce, low fat, fruit",99.0,18.64,1.2,3.98,0,Monday
"SUBWAY, lettuce and tomato, steak & cheese sub on white bread with American cheese",183.0,21.49,5.3,12.29,0,Monday
"Vitasoy USA, Nasoya Lite Firm Tofu",54.0,1.3,1.7,8.3,0,Monday
"Gravy, ready-to-serve, canned, turkey",51.0,5.1,2.1,2.6,0,Monday
"Veal, raw, pancreas, variety meats and by-products",182.0,0.0,13.0,15.0,0,Monday
"Soup, canned, HEALTHY CHOICE Chicken and Rice Soup",37.0,5.71,0.6,2.53,0,Monday
"Whipped topping, low fat, frozen",224.0,23.6,13.0,3.0,1,Monday
"McDONALD'S, Egg & Cheese McGRIDDLES, Bacon",272.0,26.19,13.0,12.03,1,Monday
"Lamb, raw, liver, variety meats and by-products",139.0,1.78,5.0,20.38,0,Monday
Potato pancakes,268.0,27.81,15.0,6.08,1,Monday
"Fast foods, and condiments, cheese, egg, with breakfast steak, bagel",282.0,22.99,14.0,15.95,1,Monday
"Beverages, prepared with water, powder, breakfast type, orange-flavor drink",49.0,12.65,0.0,0.0,0,Monday
"Pork, broiled, cooked, separable lean and fat, boneless, petite tender, shoulder",155.0,0.0,4.2,27.47,0,Monday
"Peppers, without salt, drained, boiled, chopped, frozen, red, sweet",16.0,3.31,0.2,0.95,0,Monday
"Pancakes, incomplete (includes buttermilk), dry mix, plain",355.0,73.6,1.7,10.0,1,Monday
"Lamb, roasted, cooked, trimmed to 1/8"" fat, separable lean and fat, boneless, sirloin half, leg, fresh, imported, Australian",281.0,0.0,19.0,24.88,1,Monday
"Blueberries, sweetened, dried",317.0,80.0,2.5,2.5,1,Monday
"Restaurant, fried mozzarella sticks, family style",325.0,25.14,18.0,14.75,1,Monday
"Broccoli, raw, stalks",28.0,5.24,0.4,2.98,0,Monday
"Pasta, with added salt, unenriched, cooked",157.0,30.59,0.9,5.8,0,Monday
"Pummelo, raw",38.0,9.62,0.0,0.76,0,Monday
"Dutch brand loaf, pork and beef, chicken",273.0,3.93,23.0,12.0,1,Monday
"Candies, BUTTERFINGER Crisp, NESTLE",465.0,68.45,18.0,6.67,2,Monday
"BURGER KING, french fries",280.0,38.7,12.0,3.23,1,Monday
"Fast foods, and sausage, cheese, with egg, breakfast burrito",277.0,22.97,16.0,11.1,1,Monday
"Yogurt, DANNON OIKOS, vanilla, nonfat, Greek",85.0,12.72,0.1,8.12,0,Monday
"Fast foods, regular patty; with condiments, cheeseburger; double",282.0,17.97,16.0,16.24,1,Monday
"Sweet potato, with salt, flesh, baked in skin, cooked",92.0,20.71,0.2,2.01,0,Monday
"Chicken, fried, cooked, meat only, back, broilers or fryers",288.0,5.68,15.0,29.99,1,Monday
"Rye flour, medium",349.0,75.43,1.5,10.88,1,Monday
"Pork, broiled, cooked, separable lean only, whole, loin, fresh",210.0,0.0,9.8,28.57,1,Monday
"Babyfood, apple and sweet potato, fruit and vegetable",64.0,15.3,0.2,0.3,0,Monday
"Beef, raw, choice, trimmed to 1/8"" fat, separable lean and fat, blade roast, chuck",265.0,0.0,21.0,16.98,1,Monday
"McDONALD'S, Premium Grilled Chicken Ranch BLT Sandwich",204.0,21.91,5.4,16.7,0,Monday
"CAMPBELL'S CHUNKY Soups, Fajita Chicken with Rice & Beans Soup",53.0,9.39,0.6,2.86,0,Monday
"Beverages, Classic Malt powder, OVALTINE",372.0,93.33,0.0,0.0,1,Monday
"USDA Commodity, canned, meatless, spaghetti sauce",48.0,8.7,0.9,1.2,0,Monday
"Fast foods, with condiments, regular patty and bun, double, cheeseburger",282.0,17.97,16.0,16.24,1,Monday
"Toaster pastries, brown-sugar-cinnamon",370.0,72.64,8.0,4.06,1,Monday
"Beverages, PERRIER, bottled, water",0.001,0.0,0.0,0.0,0,Monday
"Fish, solids and liquid, canned, Atlantic, cod",105.0,0.0,0.9,22.76,0,Monday
"Pizza, cooked, frozen, rising crust, meat and vegetable topping",271.0,28.78,12.0,12.63,1,Monday
"Poultry, raw, from mature hens, mechanically deboned",243.0,0.0,20.0,14.72,1,Monday
"Peaches, drained, heavy syrup, canned",72.0,18.43,0.2,0.52,0,Monday
"Beef, raw, tripe uncooked, variety meats and by-products, imported, New Zealand",77.0,0.0,2.0,14.86,0,Monday
"Chicken, raw, skin (drumsticks and thighs)",440.0,0.79,44.0,9.58,2,Monday
"Veal, roasted, cooked, separable lean only, rib",177.0,0.0,7.4,25.76,0,Monday
"Luncheon slices, meatless",189.0,4.44,11.0,17.78,0,Monday
"Applesauce, without salt (includes USDA commodity), sweetened, canned",68.0,17.49,0.2,0.16,0,Monday
"GLUTINO, Chocolate Vanilla Creme, Gluten Free Cookies",474.0,76.03,18.0,2.19,2,Monday
"Babyfood, junior, bananas with tapioca, fruit",67.0,17.8,0.2,0.4,0,Monday
"Waxgourd, raw, (chinese preserving melon)",13.0,3.0,0.2,0.4,0,Monday
"Candies, prepared-from-recipe, taffy",397.0,91.56,3.3,0.03,1,Monday
"Ostrich, raw, fan",117.0,0.0,2.7,21.81,0,Monday
"Pork, pan-broil, heated, separable lean only, bone-in, slice, ham with natural juices, cured",150.0,0.0,4.4,27.75,0,Monday
"Margarine-like spread, BENECOL Light Spread",357.0,5.71,39.0,0.0,1,Monday
"CAMPBELL'S, Spicy Hot V8, V8 Vegetable Juice",21.0,4.12,0.0,0.82,0,Monday
"Cheese, with vegetables, 1% milkfat, lowfat, cottage",67.0,3.0,1.0,10.9,0,Monday
"Lamb, raw, pancreas, variety meats and by-products",152.0,0.0,9.8,14.84,0,Monday
"Spices, ground, ginger",335.0,71.62,4.2,8.98,1,Monday
"USDA Commodity, canned, luncheon meat",189.0,1.04,13.0,17.5,0,Monday
"Beets, solids and liquids, canned, pickled",65.0,16.28,0.1,0.8,0,Monday
"KASHI, Blueberry Waffle",192.0,34.6,7.1,5.7,0,Monday
"KFC, meat and skin with breading, Thigh, EXTRA CRISPY, Fried Chicken",309.0,10.3,22.0,17.17,1,Monday
"Candies, POP'ABLES 3 MUSKETEERS Brand Bite Size Candies, MARS SNACKFOOD US",443.0,75.94,15.0,2.59,2,Monday
"Beef, braised, cooked, choice, trimmed to 0"" fat, separable lean only, boneless, shoulder pot roast",200.0,0.0,8.3,31.32,0,Monday
"KEEBLER, Wheat Crackers, TOASTEDS",466.0,66.1,20.0,8.3,2,Monday
"Lamb, broiled, cooked, separable lean and fat, loin, frozen, imported, New Zealand",315.0,0.0,24.0,23.43,1,Monday
"Squash, with salt, drained, boiled, cooked, frozen, crookneck and straightneck, summer",25.0,5.54,0.2,1.28,0,Monday
"Pasta, dry, corn, gluten-free",357.0,79.26,2.1,7.46,1,Monday
"Oranges, all commercial varieties, raw",47.0,11.75,0.1,0.94,0,Monday
"Chicken, not reheated, frozen, precooked, dark and white meat, nuggets",260.0,16.32,16.0,12.43,1,Monday
"Veal, braised, cooked, separable lean only, osso buco, foreshank",157.0,0.0,4.5,29.12,0,Monday
"Beans, without salt, boiled, cooked, mature seeds, cranberry (roman)",136.0,24.46,0.5,9.34,0,Monday
"Beef, cooked, all grades, trimmed to 1/8"" fat, separable lean and fat, composite of trimmed retail cuts",259.0,0.0,17.0,26.11,1,Monday
"Corn, solids and liquids, regular pack, whole kernel, canned, white, sweet",64.0,15.41,0.5,1.95,0,Monday
"Tofu, prepared with calcium sulfate, regular, raw",76.0,1.87,4.8,8.08,0,Monday
"WORTHINGTON FriPats, unprepared, frozen",209.0,8.0,9.1,23.7,1,Monday
"Cookies, sugar free, dry mix, brownies",426.0,80.4,13.0,2.9,1,Monday
"Lamb, braised, cooked, separable lean and fat, hind-shank, imported, New Zealand",247.0,0.04,14.0,29.59,1,Monday
"Cucumber, raw, with peel",15.0,3.63,0.1,0.65,0,Monday
"Plantains, Latino restaurant, fried, yellow",236.0,40.77,7.5,1.42,1,Monday
"Chicken, fried, breaded, meatless",234.0,8.51,13.0,21.28,1,Monday
Eggnog,88.0,8.05,4.2,4.55,0,Monday
"Babyfood, strained, chicken, meat",130.0,0.1,7.9,13.7,0,Monday
"KEEBLER, Original Graham Cookies, Cheesecake Middles, FUDGE SHOPPE",507.0,65.5,26.0,4.2,2,Monday
"Potatoes, as purchased, frozen, salt not added in processing, all types, french fried",150.0,24.81,4.7,2.24,0,Monday
"Nuts, dried, beechnuts",576.0,33.5,50.0,6.2,2,Monday
"Yogurt, lowfat, plain, Greek",73.0,3.94,1.9,9.95,0,Monday
"Yogurt, 8 grams protein per 8 ounce, whole milk, plain",61.0,4.66,3.3,3.47,0,Monday
"Granola bar, peanut butter, milk chocolate coated, soft",536.0,54.1,31.0,9.6,2,Monday
"Lima beans, without salt, boiled, cooked, mature seeds, large",115.0,20.88,0.4,7.8,0,Monday
"Beef, cooked, select, trimmed to 1/8"" fat, separable lean and fat, composite of trimmed retail cuts",245.0,0.0,15.0,26.06,1,Monday
"Cake, dry mix, enriched, white, pudding-type",423.0,80.9,9.5,3.9,1,Monday
"Snacks, white corn, unsalted, tortilla chips",503.0,65.32,23.0,7.79,2,Monday
"Beef, raw, choice, trimmed to 0"" fat, separable lean only, boneless, chuck eye Country-Style ribs",152.0,0.0,7.7,20.87,0,Monday
"Cereals, without salt, prepared with water, instant, CREAM OF WHEAT",62.0,13.08,0.2,1.84,0,Monday
"Nuts, hazelnuts or filberts",628.0,16.7,61.0,14.95,2,Monday
"Soup, ready-to-serve, chunky, canned, split with ham, pea",77.0,11.17,1.7,4.62,0,Monday
"Milk, without added vitamin A and vitamin D, instant, nonfat, dry",358.0,52.19,0.7,35.1,1,Monday
"Beverages, sweetened, ready-to-drink, green, tea",27.0,6.2,0.2,0.0,0,Monday
"KASHI, Frozen Entree, Red Curry Chicken",110.0,15.6,3.0,5.9,0,Monday
"Protein supplement, powder, Muscle Milk Light, milk based",396.0,22.0,12.0,50.0,1,Monday
"Alcoholic beverage, all, regular, beer",43.0,3.55,0.0,0.46,0,Monday
"Beans, drained without salt, boiled, cooked, frozen, green, snap",28.0,6.45,0.2,1.49,0,Monday
"Pepperoni, sliced, beef and pork",504.0,1.18,46.0,19.25,2,Monday
"Candies, sesame crunch",516.0,50.3,33.0,11.6,2,Monday
"Apples, uncooked, sulfured, dried",243.0,65.89,0.3,0.93,1,Monday
"Bread, toasted, commercially prepared, white",290.0,54.5,4.0,9.0,1,Monday
"Corn, regular pack, cream style, canned, yellow, sweet",72.0,18.13,0.4,1.74,0,Monday
"Yogurt, nonfat, plain, Greek",59.0,3.6,0.4,10.19,0,Monday
"Beef, raw, all grades, trimmed to 0"" fat, separable lean only, boneless, eye of round steak, round",121.0,0.0,3.0,23.37,0,Monday
"Bread, italian",271.0,50.1,3.5,8.8,1,Monday
"Beef, roasted, cooked, all grades, trimmed to 0"" fat, separable lean only, boneless, top round roast, round",162.0,0.0,3.8,30.09,0,Monday
"Macaroni and Cheese, canned entree",82.0,11.52,2.5,3.38,0,Monday
"Mollusks, moist heat, cooked, unspecified, whelk",275.0,15.52,0.8,47.68,1,Monday
"Broccoli, raw, chinese",30.0,4.67,0.8,1.2,0,Monday
"Beef, raw, all grades, trimmed to 0"" fat, separable lean and fat, steak, bottom round, outside round, round",142.0,0.0,5.5,21.59,0,Monday
"Beef, raw, all grades, trimmed to 0"" fat, separable lean and fat, medallion, shoulder tender, shoulder clod, chuck",144.0,0.0,6.2,20.54,0,Monday
"KELLOGG'S, Frosted Blueberry Muffin Toaster Pastries, POP-TARTS",397.0,70.9,11.0,4.0,1,Monday
"Veal, braised, cooked, separable lean and fat, boneless, whole, breast",266.0,0.0,17.0,26.97,1,Monday
"Oil, ucuhuba butter",884.0,0.0,100.0,0.0,2,Monday
"Snacks, KELLOGG'S RICE KRISPIES TREATS Squares, KELLOGG",414.0,80.5,9.0,3.4,1,Monday
"Chicken, fried, cooked, meat only, leg, broilers or fryers",208.0,0.65,9.3,28.38,1,Monday
"Chicken, raw, meat only, leg, broilers or fryers",120.0,0.0,4.2,19.16,0,Monday
"Cereals ready-to-eat, ALPEN",352.0,75.7,3.3,11.2,1,Monday
"KELLOGG'S, Frosted Wild Fruit Fusion Toaster Pastries, POP-TARTS",391.0,72.3,9.7,3.9,1,Monday
"Beef, raw, select, trimmed to 0"" fat, separable lean only, boneless, shoulder pot roast or steak",121.0,0.0,3.7,21.93,0,Monday
"Pork, pan-fried, cooked, separable lean and fat, boneless, center rib (chops), loin, fresh",273.0,0.0,18.0,25.82,1,Monday
"Beef, raw, select, trimmed to 1/8"" fat, separable lean only, roast, eye of round, round",119.0,0.0,2.6,22.31,0,Monday
"Light Ice Cream, blended with milk chocolate candies, soft serve",182.0,26.82,6.5,4.02,0,Monday
"Shallots, freeze-dried",348.0,80.7,0.5,12.3,1,Monday
"Squash, without salt, baked, cooked, butternut, winter",40.0,10.49,0.1,0.9,0,Monday
"Yogurt, 10 grams protein per 8 ounce, low fat, fruit",102.0,19.05,1.1,4.37,0,Monday
"SUBWAY, cold cut sub on white bread with lettuce and tomato",214.0,20.43,10.0,10.52,1,Monday
"Peppers, raw, jalapeno",29.0,6.5,0.4,0.91,0,Monday
"Turkey sausage, raw, fresh",155.0,0.47,8.1,18.79,0,Monday
"Beef, fast fried, cooked, separable lean and fat, rump centre, imported, New Zealand",192.0,0.0,8.0,30.01,0,Monday
"Pork, raw, separable lean only, tenderloin, loin, enhanced, fresh",106.0,0.0,2.1,20.39,0,Monday
"Beef, raw, choice, trimmed to 0"" fat, separable lean and fat, small end (ribs 10-12), eye, rib",274.0,0.0,22.0,17.51,1,Monday
"Fast foods, miniature cinnamon rolls",403.0,53.38,18.0,7.02,1,Monday
"Potatoes, without salt, skin, cooked in skin, boiled",78.0,17.21,0.1,2.86,0,Monday
"Cereals ready-to-eat, RALSTON Corn Biscuits",367.0,85.79,1.1,5.83,1,Monday
"Beef, braised, cooked, all grades, trimmed to 0"" fat, separable lean and fat, boneless, chuck eye Country-Style ribs",296.0,0.0,21.0,27.69,1,Monday
"Puddings, instant, dry mix, chocolate",378.0,87.9,1.9,2.3,1,Monday
"MURRAY, Chocolate Chip Cookies, SUGAR FREE",469.0,63.6,27.0,5.6,2,Monday
"Beef, raw, all grades, trimmed to 0"" fat, separable lean and fat, composite of trimmed retail cuts",169.0,0.05,9.3,20.95,0,Monday
"Frostings, NFSMI Recipe No. C-32, with butter, prepared-from-recipe, chocolate, glaze",359.0,72.18,7.2,1.42,1,Monday
"Infant formula, with ARA and DHA, ready-to-feed, LIPIL, ENFAMIL, MEAD JOHNSON",66.0,6.44,3.5,1.38,0,Monday
"Pork, roasted, separable fat (from ham and arm picnic), cured",591.0,0.0,62.0,7.64,2,Monday
"Fish, with skin (Alaska Native), raw, halibut",116.0,1.81,2.9,20.53,0,Monday
"KASHI Pizza, unprepared, frozen, Mediterranean",231.0,31.0,7.5,12.7,1,Monday
"Salad dressing, regular, commercial, blue or roquefort cheese dressing",484.0,4.77,51.0,1.37,2,Monday
"Babyfood, prepared with whole milk, with honey, oatmeal, cereal",115.0,15.3,3.9,5.0,0,Monday
"Corn, raw, white, sweet",86.0,19.02,1.2,3.22,0,Monday
"Beverages, Cranberry Energy Juice Drink, Cran-Energy, OCEAN SPRAY",15.0,3.75,0.0,0.0,0,Monday
"Beans, raw, mature seeds, all types, kidney",333.0,60.01,0.8,23.58,1,Monday
"Babyfood, junior, banana and strawberry, fruit",109.0,25.78,0.4,0.71,0,Monday
"McDONALD'S, Premium Grilled Chicken Club Sandwich",221.0,19.87,8.1,17.19,1,Monday
"Beef, boiled, cooked, sweetbread, imported, New Zealand",318.0,0.0,30.0,12.53,1,Monday
"Egg, fresh, raw, whole",143.0,0.72,9.5,12.56,0,Monday
"Infant formula, ready-to-feed, with iron, ADVANCE, SIMILAC, ABBOTT NUTRITION",66.0,6.77,3.7,1.36,0,Monday
Barley malt flour,361.0,78.3,1.8,10.28,1,Monday
"Snacks, peanut butter, KUDOS Whole Grain Bars, M&M MARS",463.0,64.69,21.0,5.88,2,Monday
"Candies, SNICKERS CRUNCHER, MARS SNACKFOOD US",488.0,62.85,24.0,6.86,2,Monday
"Hyacinth beans, without salt, boiled, cooked, mature seeds",117.0,20.69,0.6,8.14,0,Monday
"Carrot, dehydrated",341.0,79.57,1.5,8.1,1,Monday
"Beef, broiled, cooked, all grades, trimmed to 1/8"" fat, separable lean and fat, steak, top sirloin",243.0,0.0,14.0,26.96,1,Monday
"Turkey, roasted, meat only, from whole bird, back",173.0,0.0,6.0,27.71,0,Monday
"Oil, uses similar to 95 degree hard butter, confection fat, palm kernel (hydrogenated), industrial",884.0,0.0,100.0,0.0,2,Monday
"Cereals, without salt, stove-top, cooked with water, 2 1/2 minute cook time, CREAM OF WHEAT",56.0,11.74,0.2,1.44,0,Monday
"KEEBLER, Iced Oatmeal Cookies",467.0,69.5,18.0,6.5,2,Monday
"KASHI Black Bean Mango, unprepared, frozen",115.0,18.0,3.0,3.0,0,Monday
"Infant formula, ready-to-feed, with iron, NUTRAMIGEN, ENFAMIL, MEAD JOHNSON",66.0,6.81,3.5,1.83,0,Monday
"Veal, raw, separable lean and fat, rib",162.0,0.0,9.0,18.86,0,Monday
"Babyfood, toddler, spaghetti and tomato and meat, dinner",75.0,10.8,1.0,5.3,0,Monday
"Gravy, prepared, low sodium, meat or poultry",53.0,6.16,2.4,3.8,0,Monday
"Pie crust, baked, enriched, ready-to-bake, frozen, standard-type",508.0,56.24,29.0,6.5,2,Monday
"Beef, raw, select, trimmed to 1/8"" fat, separable lean and fat, large end (ribs 6-9), rib",295.0,0.0,25.0,16.52,1,Monday
"Veal, raw, separable lean only, arm, shoulder",105.0,0.0,2.2,20.04,0,Monday
"USDA Commodity Food, refined, soybean, vegetable, oil",884.0,0.0,100.0,0.0,2,Monday
"Chicken, pan-fried, cooked, all classes, liver",172.0,1.11,6.4,25.78,0,Monday
"Beef, raw, all grades, trimmed to 0"" fat, separable lean and fat, boneless, top round roast, round",125.0,0.0,3.5,23.45,0,Monday
"Bologna, pork, chicken",336.0,4.19,31.0,10.31,1,Monday
"Fish, smoked (Alaska Native), canned, (sockeye), red, salmon",206.0,0.0,7.3,35.19,1,Monday
"Rolls, and corn starch, rice starch, made with rice flour, white, gluten-free",239.0,50.47,2.7,3.34,1,Monday
"Spices, fennel seed",345.0,52.29,15.0,15.8,1,Monday
"Lamb, slow roasted, cooked, separable lean only, boneless, rolled, netted shoulder, imported, New Zealand",199.0,0.0,11.0,25.14,0,Monday
"Onions, dehydrated flakes",349.0,83.28,0.5,8.95,1,Monday
"Beef, broiled, cooked, select, trimmed to 0"" fat, separable lean only, t-bone steak, short loin",177.0,0.0,7.4,26.0,0,Monday
"Veal, cooked, separable fat, composite of trimmed retail cuts",642.0,0.0,67.0,9.42,2,Monday
"Beef, raw, all grades, trimmed to 0"" fat, separable lean only, boneless, top round roast, round",121.0,0.0,2.9,23.59,0,Monday
"Quail, raw, meat and skin",192.0,0.0,12.0,19.63,0,Monday
"Pork, cooked, rendered fat, bacon",898.0,0.0,100.0,0.07,2,Monday
"Beef, cooked, choice, trimmed to 0"" fat, separable lean and fat, composite of trimmed retail cuts",233.0,0.0,13.0,28.17,1,Monday
"Beef, raw, all grades, trimmed to 1/8"" fat, separable lean and fat, whole, brisket",251.0,0.0,19.0,18.42,1,Monday
"Lamb, soaked and fried, cooked, brains, imported, New Zealand",154.0,0.0,11.0,14.03,0,Monday
"Plums, solids and liquids, extra heavy syrup pack, purple, canned",101.0,26.31,0.1,0.36,0,Monday
"Bread, toasted, oatmeal",292.0,52.7,4.8,9.2,1,Monday
"Bread, toasted, rice bran",264.0,47.3,5.0,9.7,1,Monday
Milk and cereal bar,413.0,72.05,11.0,6.47,1,Monday
"Crackers, with peanut butter filling, sandwich, standard snack-type",494.0,58.38,25.0,11.47,2,Monday
"Cereals ready-to-eat, KELLOGG'S SPECIAL K Chocolatey Delight",381.0,81.2,7.3,6.5,1,Monday
"Cereals ready-to-eat, with almonds, HONEY BUNCHES OF OATS, POST",409.0,79.6,7.3,7.7,1,Monday
"PREGO Pasta, ready-to-serve, Mushroom and Garlic Italian Sauce",62.0,10.0,1.9,1.54,0,Monday
"Beef, roasted, cooked, select, trimmed to 0"" fat, separable lean and fat, large end (ribs 6-9), rib",331.0,0.0,26.0,23.48,1,Monday
"Rice, unenriched, raw, short-grain, white",358.0,79.15,0.5,6.5,1,Monday
"Drumstick leaves, with salt, drained, boiled, cooked",60.0,11.15,0.9,5.27,0,Monday
"Peppers, solids and liquids, canned, jalapeno",27.0,4.74,0.9,0.92,0,Monday
"Bread, refrigerated, commercially prepared, whole wheat, naan",286.0,46.21,6.7,10.2,1,Monday
"SUNSHINE, Crackers (made with Whole Grain), CHEEZ-IT",511.0,58.2,27.0,10.7,2,Monday
"Lamb, broiled, cooked, choice, trimmed to 1/4"" fat, separable lean and fat, blade, shoulder, domestic",278.0,0.0,20.0,23.08,1,Monday
"Candies, STARBURST Sour Fruit Chews, MARS SNACKFOOD US",400.0,79.73,7.8,0.39,1,Monday
"Cookies, baked, refrigerated dough, chocolate chip",492.0,68.2,23.0,4.9,2,Monday
"Beef, raw, all grades, trimmed to 0"" fat, separable lean and fat, lip off, boneless, top loin steak, loin",163.0,0.0,8.2,22.43,0,Monday
"Snacks, plain, pork skins",544.0,0.0,31.0,61.3,2,Monday
"Fast foods, french toast with butter",264.0,26.7,14.0,7.66,1,Monday
"Fish, dry heat, cooked, farmed, channel, catfish",144.0,0.0,7.2,18.44,0,Monday
"Salad dressing, regular, mayonnaise",680.0,0.57,75.0,0.96,2,Monday
"Fish, raw, Atlantic and Pacific, halibut",91.0,0.0,1.3,18.56,0,Monday
"Beef, braised, cooked, choice, trimmed to 0"" fat, separable lean only, boneless, under blade steak, chuck",222.0,0.0,11.0,30.91,1,Monday
"Bread, toasted (includes whole-grain), multi-grain",288.0,47.11,4.6,14.52,1,Monday
"Beef, grilled, cooked, all grades, trimmed to 1/8"" fat, separable lean and fat, boneless, top sirloin cap steak, loin",242.0,0.8,15.0,26.0,1,Monday
"Bread, prepared from recipe, irish soda",290.0,56.0,5.0,6.6,1,Monday
"Soup, reduced sodium, condensed, canned, cream of mushroom",52.0,8.1,1.7,1.21,0,Monday
"Cheese, camembert",300.0,0.46,24.0,19.8,1,Monday
"Beef, raw, heart, variety meats and by-products",112.0,0.14,3.9,17.72,0,Monday
"Elk, raw (Shoshone Bannock), eye of round, roast, free range",98.0,0.0,2.1,19.74,0,Monday
"Snacks, salted, made with partially hydrogenated soybean oil, plain, potato chips",536.0,52.9,35.0,7.0,2,Monday
"Candies, DOVE Milk Chocolate, MARS SNACKFOOD US",546.0,59.78,32.0,5.94,2,Monday
"Cereals ready-to-eat, Nutty Clusters & Almonds, FIBER ONE, GENERAL MILLS",348.0,79.5,6.8,7.9,1,Monday
"Infant formula, ready-to-feed, low iron, ENFAMIL, MEAD JOHNSON",63.0,7.18,3.5,1.38,0,Monday
"Veal, braised, cooked, separable lean only, sirloin",204.0,0.0,6.5,33.96,0,Monday
"Beverages, powder, rich chocolate",372.0,92.96,0.0,0.0,1,Monday
"Burdock root, without salt, drained, boiled, cooked",88.0,21.15,0.1,2.09,0,Monday
"Candies, M&M's Crispy Chocolate Candies, MARS SNACKFOOD US",475.0,72.4,19.0,4.28,2,Monday
"Babyfood, strained, pears and pineapple, fruit",41.0,10.9,0.1,0.3,0,Monday
"Tortilla, Sakwavikaviki (Hopi), blue corn",276.0,58.12,1.4,7.83,1,Monday
"Babyfood, junior, broccoli and chicken, dinner",62.0,6.34,2.5,3.59,0,Monday
"AUSTIN, reduced fat, sandwich-type, Peanut Butter on Toasty Crackers",463.0,67.2,18.0,9.5,2,Monday
"Babyfood, strained, noodles and chicken, vegetables, dinner",63.0,7.9,2.5,2.0,0,Monday
"Lotus root, raw",74.0,17.23,0.1,2.6,0,Monday
"Babyfood, strained, turkey, meat",111.0,1.4,6.2,11.5,0,Monday
"Biscuits, higher fat, refrigerated dough, plain or buttermilk",307.0,46.32,11.0,6.66,1,Monday
"Lamb, raw, choice, trimmed to 1/4"" fat, separable lean only, shank half, leg, domestic",125.0,0.0,4.2,20.52,0,Monday
